Crop Name,N_min,N_max,P_min,P_max,K_min,K_max,Temp_min,Temp_max,Humidity_min,Humidity_max,pH_min,pH_max,Rain_min,Rain_max,Light,Soil,Pests,Care
Banana,80,120,70,95,45,55,25,30,75,85,5.5,6.5,90,115,"Ánh sáng mặt trời đầy đủ, tránh gió mạnh.","Đất thịt sâu, giàu mùn, thoát nước tốt.","Sâu đục thân, bệnh héo rũ Panama.","Cần rất nhiều nước và phân bón (đặc biệt là Kali)."
Mango,0,40,15,40,25,35,27,35,45,55,4.5,7,90,105,"Ánh sáng mặt trời trực tiếp.","Đất thịt pha cát, tầng đất dày.","Rầy bông xoài, ruồi đục quả.","Tưới nước giai đoạn cây con, xử lý ra hoa vụ nghịch."
Grapes,0,40,120,145,195,205,7,42,80,85,5.5,6.5,65,75,"Ánh sáng mặt trời đầy đủ.","Đất cát hoặc đất thịt pha cát, thoát nước cực tốt.","Rệp sáp, bệnh sương mai.","Cần giàn leo chắc chắn, cắt tỉa cành rất quan trọng để đậu quả."
Watermelon,80,120,5,30,45,55,24,27,80,90,6,7,40,60,"Ánh sáng mặt trời đầy đủ.","Đất cát giàu hữu cơ.","Bọ dưa, bệnh héo rũ.","Tưới nước đều đặn giai đoạn đầu, giảm tưới khi quả chín để tăng độ ngọt."
Muskmelon,80,120,5,30,45,55,27,30,90,95,6,7,20,30,"Ánh sáng mặt trời đầy đủ.","Đất thịt nhẹ hoặc đất cát.","Rầy mềm, bệnh phấn trắng.","Cần không gian rộng để bò hoặc làm giàn treo quả."
Apple,0,40,120,145,195,205,21,24,90,95,5.5,6.5,100,125,"Ánh sáng mặt trời đầy đủ.","Đất thịt màu mỡ, thoát nước tốt.","Sâu đục quả, bệnh ghẻ táo.","Cần khí hậu lạnh để phân hóa mầm hoa, cắt tỉa hàng năm."
Orange,0,40,5,30,5,15,10,40,90,95,6,8,100,120,"Ánh sáng mặt trời đầy đủ.","Đất thịt pha cát, giàu dinh dưỡng.","Sâu vẽ bùa, bệnh loét cam.","Bón phân cân đối, tưới nước đủ ẩm nhưng không úng."
Papaya,30,70,45,70,45,55,23,45,90,95,6.5,7,150,255,"Ánh sáng mặt trời đầy đủ.","Đất thịt nhẹ, thoát nước cực tốt.","Rệp sáp, bệnh khảm virus.","Rễ rất nhạy cảm với ngập úng, cần vun gốc cao."
Coconut,0,40,5,30,25,35,25,30,90,100,5.5,6.5,130,230,"Ánh sáng mặt trời trực tiếp.","Đất cát ven biển hoặc đất thịt pha cát.","Bọ vòi voi, kiến vương.","Chịu được mặn, cần nhiều nước và ánh sáng."
Cotton,100,140,35,60,15,25,22,26,75,85,5.5,8,60,100,"Ánh sáng mặt trời đầy đủ.","Đất đen hoặc đất thịt sâu.","Sâu xanh, rầy xanh.","Cần mùa khô kéo dài khi quả chín để thu hoạch bông."
Jute,60,100,35,60,35,45,23,27,70,90,6,7.5,150,200,"Ánh sáng mặt trời đầy đủ.","Đất phù sa bồi đắp hàng năm.","Sâu ăn lá, bệnh thối thân.","Cần độ ẩm cao và lượng mưa lớn giai đoạn sinh trưởng."
Coffee,80,120,15,40,30,40,23,28,50,65,6,7.5,115,200,"Ánh sáng tán xạ hoặc che bóng một phần.","Đất đỏ Bazan giàu dinh dưỡng.","Mọt đục quả, bệnh rỉ sắt.","Cần mùa khô để phân hóa mầm hoa và thu hoạch."
Durian,100,150,50,80,120,180,24,32,75,85,5.5,6.5,150,250,"Ánh sáng mặt trời đầy đủ, cần chắn gió.","Đất thịt pha sét, thoát nước cực tốt, tầng đất dày.","Bệnh xì mủ (Phytophthora), rầy nhảy, sâu đục trái.","Cần nhiều nước nhưng không chịu úng, bón phân hữu cơ định kỳ."
Jackfruit,60,100,40,60,80,120,22,35,60,80,5,7.5,100,200,"Ánh sáng mặt trời đầy đủ.","Nhiều loại đất, trừ đất ngập úng.","Sâu đục trái, rệp sáp, bệnh thối gốc.","Cây chịu hạn tốt, cần tỉa bớt quả để tập trung dinh dưỡng."
Dragon Fruit,40,70,30,50,50,80,20,35,50,70,6,7.5,40,100,"Ánh sáng mặt trời đầy đủ, cần thắp đèn vụ nghịch.","Đất cát pha hoặc đất thịt nhẹ, thoát nước tốt.","Kiến, bệnh thối đầu cành, ốc sên.","Cần trụ bám, tưới nước vừa phải, bón nhiều kali khi ra hoa."
Pomelo,80,120,50,70,90,130,23,32,70,85,5.5,6.5,120,180,"Ánh sáng mặt trời đầy đủ.","Đất phù sa bồi, đất thịt pha cát.","Sâu vẽ bùa, nhện đỏ, bệnh vàng lá gân xanh.","Cần bón nhiều phân hữu cơ, giữ ẩm gốc vào mùa khô."
Longan,70,110,40,60,60,90,21,30,70,85,5.5,7,100,150,"Ánh sáng mặt trời đầy đủ.","Đất thịt sâu, giàu dinh dưỡng.","Bọ xít, sâu đục gân lá, bệnh chổi rồng.","Cần xử lý ra hoa bằng Kali Clorat (KClO3) ở một số vùng."
Lychee,80,120,40,70,70,100,15,30,75,90,5.5,6.5,120,200,"Ánh sáng mặt trời đầy đủ.","Đất đồi, đất đỏ, thoát nước tốt.","Sâu đục cuống quả, bọ xít.","Cần thời gian nhiệt độ lạnh vào mùa đông để ra hoa."
Mangosteen,40,80,30,50,40,70,25,35,80,95,5.5,6.5,180,250,"Cây con cần bóng râm, cây lớn cần nắng.","Đất thịt pha sét, giàu mùn.","Bọ trĩ, nhện đỏ, sâu vẽ bùa.","Phát triển chậm, cần nhiều nước và độ ẩm ổn định."
Passion Fruit,60,100,50,80,100,150,18,30,65,85,5.5,7,80,150,"Ánh sáng mặt trời đầy đủ.","Đất đỏ bazan, đất thịt thoát nước tốt.","Bệnh phấn trắng, rầy mềm, virus xoăn lá.","Cần giàn leo, cắt tỉa cành thường xuyên để kích thích ra hoa."
Black Pepper,120,180,60,90,100,150,22,30,70,90,5.5,6.5,150,250,"Ánh sáng tán xạ 50-70%.","Đất bazan hoặc đất thịt pha cát, thoát nước cực tốt.","Bệnh chết nhanh, chết chậm, rệp sáp.","Cần nọc bám (trụ sống hoặc trụ bê tông), che bóng giai đoạn đầu."
Cashew,40,80,30,50,40,60,20,40,40,70,4.5,6.5,60,120,"Ánh sáng mặt trời đầy đủ.","Đất cát pha, đất đồi nghèo dinh dưỡng.","Bọ xít muỗi, sâu đục thân, bệnh thán thư.","Cây chịu hạn rất tốt, cần bón phân khi cây ra hoa đậu quả."
Rubber,100,140,60,100,80,120,25,30,75,85,4.5,6,180,250,"Ánh sáng mặt trời đầy đủ.","Đất đỏ bazan, tầng canh tác dày (>1m).","Bệnh loét sọc mặt cạo, bệnh rụng lá mùa mưa.","Cần chế độ cạo mủ hợp lý để bảo vệ thân cây."
Tea,120,200,40,70,60,100,15,25,80,90,4,5.5,150,250,"Ánh sáng nhẹ hoặc che bóng bán phần.","Đất chua (pH thấp), thoát nước tốt.","Rầy xanh, bọ cánh tơ, nhện đỏ.","Cần độ ẩm cao và sương mù, cắt tỉa để giữ tán cây thấp."
Sweet Potato,40,70,50,80,100,150,20,30,60,80,5.5,6.5,60,100,"Ánh sáng mặt trời đầy đủ.","Đất cát pha, tơi xốp.","Sâu đục củ, bọ hà.","Cần bón nhiều Kali để phát triển củ, tránh ngập úng."
Cassava,60,90,30,50,60,100,20,35,60,80,4.5,7,60,150,"Ánh sáng mặt trời đầy đủ.","Nhiều loại đất, chịu được đất nghèo dinh dưỡng.","Bệnh rầy mềm, bệnh khảm lá (mosaic).","Cực kỳ dễ trồng, chịu hạn tốt, không để úng nước."
Tomato,100,150,50,100,150,250,20,25,60,75,6,7,60,100,"Ánh sáng mặt trời đầy đủ (ít nhất 6 giờ/ngày).","Đất thịt tơi xốp, giàu hữu cơ, thoát nước tốt.","Sâu đục trái, bệnh sương mai, héo rũ vi khuẩn.","Cần giàn đỡ, tỉa cành để cây tập trung nuôi quả."
Potato,100,150,60,110,180,280,15,22,70,85,5,6,50,90,"Ánh sáng mặt trời đầy đủ.","Đất cát pha hoặc đất thịt nhẹ, pH hơi acid để tránh bệnh ghẻ.","Bọ khoai tây, bệnh mốc sương.","Cần vun gốc cao để bảo vệ củ khỏi ánh sáng mặt trời."
Onion,60,100,40,80,40,80,15,25,60,70,6,7,40,70,"Ánh sáng mặt trời đầy đủ, cần ngày dài để tạo củ.","Đất tơi xốp, không có đá sỏi.","Bọ trĩ, bệnh thối nhũn.","Kiểm soát cỏ dại tốt, tưới nước đều nhưng không làm úng."
Garlic,50,90,40,60,40,70,15,24,60,80,6,7.5,30,60,"Ánh sáng mặt trời đầy đủ.","Đất thịt nhẹ, giàu mùn.","Sâu đục thân, rệp.","Cần thời gian lạnh để kích thích phân tép tỏi."
Chili,60,120,40,80,60,100,20,30,60,80,6,7,60,120,"Ánh sáng mặt trời đầy đủ.","Đất thịt pha cát, thoát nước tốt.","Bọ trĩ, bệnh thán thư.","Tưới nước đủ ẩm, bón thêm Kali khi cây bắt đầu ra hoa."
Ginger,60,100,50,80,100,160,25,30,75,90,5.5,6.5,150,250,"Ánh sáng tán xạ hoặc bóng râm nhẹ.","Đất thịt tơi xốp, nhiều mùn.","Sâu đục củ, bệnh thối thâm củ.","Cần độ ẩm cao, thoát nước tốt để tránh héo rũ."
Turmeric,60,100,60,100,100,160,20,35,75,90,5.5,7.5,150,250,"Ánh sáng mặt trời đầy đủ hoặc tán xạ.","Đất thịt pha cát, tơi xốp.","Sâu cuốn lá, bệnh thối rễ.","Thời gian sinh trưởng dài (7-9 tháng), cần vun gốc định kỳ."
Carrot,60,100,40,70,80,130,15,21,60,85,6,7,50,100,"Ánh sáng mặt trời đầy đủ.","Đất cát tơi xốp, không có sỏi đá để củ không bị biến dạng.","Sâu vẽ bùa, bệnh thối nhũn.","Làm đất thật kỹ, bón phân cân đối, tránh thừa đạm gây thối củ."
Cabbage,120,180,60,100,100,160,15,22,75,90,6,7.5,60,120,"Ánh sáng mặt trời đầy đủ.","Đất thịt nặng, giữ nước tốt.","Sâu xanh bướm trắng, sâu tơ.","Phù hợp khí hậu lạnh, cần bón đủ đạm để cuộn bắp tốt."
Cauliflower,120,180,60,100,100,160,15,22,75,90,6,7,60,120,"Ánh sáng mặt trời đầy đủ.","Đất thịt màu mỡ, thoát nước tốt.","Sâu tơ, bệnh sưng rễ.","Rất nhạy cảm với nhiệt độ cao khi đang hình thành hoa."
Cucumber,60,100,40,85,100,160,20,32,75,90,6,7,60,110,"Ánh sáng mặt trời đầy đủ.","Đất cát pha nhiều hữu cơ.","Bọ dưa, bệnh phấn trắng.","Cần giàn leo, tưới nước thường xuyên, tránh để đất quá khô."
Eggplant,80,130,60,110,100,160,25,32,65,85,5.5,6.8,100,160,"Ánh sáng mặt trời đầy đủ.","Đất thịt pha cát, giàu dinh dưỡng.","Sâu đục quả, rầy mềm.","Cần bón phân định kỳ, ngắt bỏ lá già ở gốc để thông thoáng."
Pumpkin,60,110,40,90,100,160,22,32,65,85,6,7.5,60,130,"Ánh sáng mặt trời đầy đủ.","Đất thịt nhẹ, đất cát pha.","Bọ dưa, rầy mềm.","Cần diện tích rộng để bò, thụ phấn bổ sung nếu ít côn trùng."
Spinach,80,130,40,80,60,110,15,22,70,90,6,7.5,40,90,"Ánh sáng mặt trời đầy đủ hoặc bán râm.","Đất thịt trung bình đến nặng, giàu hữu cơ.","Sâu vẽ bùa, ốc sên.","Cần độ ẩm ổn định, không chịu được nhiệt độ quá cao."
Lettuce,60,100,40,70,60,110,15,22,70,95,6,7,40,85,"Ánh sáng mặt trời đầy đủ hoặc bán râm.","Đất tơi xốp, thoát nước cực tốt.","Rệp muội, sên trần.","Rất nhanh thu hoạch, cần tưới nước thường xuyên để lá giòn ngọt."
Soybean,20,60,40,80,30,60,20,30,60,80,6,7.5,60,100,"Ánh sáng mặt trời đầy đủ.","Đất thịt trung bình, giàu hữu cơ.","Sâu đục quả, sâu ăn lá, bệnh khảm.","Cần vi khuẩn nốt sần để cố định đạm, tưới đủ nước giai đoạn ra hoa."
Groundnut,20,50,40,70,50,90,25,35,50,70,5.5,7,50,100,"Ánh sáng mặt trời đầy đủ.","Đất cát pha, tơi xốp để tia lạc dễ đâm xuống đất.","Sâu khoang, bệnh héo rũ, bệnh đốm lá.","Cần vôi để kích thích tạo vỏ quả, làm đất tơi xốp."
Sesame,30,60,30,50,30,50,25,40,40,60,5.5,8,30,60,"Ánh sáng mặt trời trực tiếp cường độ cao.","Đất thịt nhẹ, thoát nước cực tốt.","Sâu cuốn lá, bệnh thối gốc.","Cây chịu hạn cực tốt, không chịu được ngập úng dù chỉ thời gian ngắn."
Sugarcane,150,250,50,100,100,200,20,35,60,85,5,8,150,250,"Ánh sáng mặt trời đầy đủ.","Đất thịt sâu, đất phù sa, giàu dinh dưỡng.","Sâu đục thân, rầy đầu dài, bệnh than đen.","Cần rất nhiều phân bón và nước, vụ thu hoạch cần khô ráo để tích lũy đường."
Tobacco,100,150,40,60,150,250,20,30,70,80,5.5,6.5,80,120,"Ánh sáng mặt trời đầy đủ.","Đất cát pha, tơi xốp, thoát nước tốt.","Sâu xanh, rệp muội, bệnh héo rũ.","Cần Kali cao để cháy tốt, ngắt ngọn để lá phát triển to."
Sorghum,80,120,30,50,40,80,25,35,30,60,5.5,8.5,40,75,"Ánh sáng mặt trời trực tiếp.","Nhiều loại đất, kể cả đất mặn và kiềm nhẹ.","Sâu đục thân, chim ăn hạt.","Cây chịu hạn và chịu nhiệt cực tốt, phù hợp vùng khô hạn."
Wheat,80,150,40,80,30,60,10,25,50,70,6,7.5,40,90,"Ánh sáng mặt trời đầy đủ.","Đất thịt trung bình, thoát nước tốt.","Rỉ sắt, sâu đục thân.","Phù hợp khí hậu ôn đới hoặc mùa đông lạnh, cần khô ráo khi chín."
Barley,60,100,40,60,40,60,10,20,40,60,6.5,8,30,70,"Ánh sáng mặt trời đầy đủ.","Đất thịt nhẹ, đất cát, chịu kiềm tốt.","Bệnh phấn trắng, rỉ sắt.","Chịu hạn tốt hơn lúa mì, thời gian sinh trưởng ngắn."
Cocoa,60,100,40,70,80,120,20,32,80,95,5.5,7,150,250,"Cần bóng râm (trồng xen dưới tán điều, dừa).","Đất thịt sâu, thoát nước tốt.","Bọ xít muỗi, sâu đục quả, thối thân.","Cần độ ẩm cao quanh năm, tránh gió mạnh và nắng gắt trực tiếp."
Oil Palm,150,200,60,100,150,250,25,33,80,95,4,6.5,180,300,"Ánh sáng mặt trời đầy đủ.","Đất thịt sâu, nhiều hữu cơ, đất phèn nhẹ.","Kiến vương, chuột, bệnh thối gốc.","Cần lượng mưa lớn và phân phối đều trong năm, bón nhiều Kali."
Cinnamon,40,80,30,50,40,70,20,30,75,90,4.5,6,160,250,"Ánh sáng mặt trời đầy đủ hoặc tán xạ.","Đất đồi, đất đỏ bazan, tầng canh tác dày.","Sâu đục thân, bệnh thối vỏ.","Thu hoạch vỏ sau 10-15 năm, cần độ ẩm không khí cao."
Cardamom,40,80,40,60,60,100,10,25,80,100,5.5,6.5,200,350,"Bóng râm hoàn toàn (dưới tán rừng).","Đất rừng giàu mùn, thoát nước tốt.","Bọ trĩ, bệnh héo rũ.","Phù hợp vùng núi cao (trên 1000m), cần mát mẻ và cực kỳ ẩm."
Sunflower,80,120,40,80,60,120,20,30,50,70,6,7.5,50,100,"Ánh sáng mặt trời trực tiếp.","Đất thịt sâu, thoát nước tốt.","Sâu ăn lá, chim ăn hạt.","Cần nhiều đạm và kali, tưới nước đều giai đoạn ra hoa."
Flax,40,80,40,60,40,80,15,25,60,80,5,7,40,90,"Ánh sáng mặt trời đầy đủ.","Đất thịt nhẹ, thoát nước tốt.","Bệnh héo rũ, rệp muội.","Không chịu được úng, cần làm sạch cỏ dại."
Kenaf,60,100,40,60,40,70,22,35,70,90,5.5,7.5,100,200,"Ánh sáng mặt trời đầy đủ.","Đất phù sa, đất thịt pha cát.","Sâu ăn lá, rệp.","Phát triển rất nhanh, cần lượng mưa lớn."
Millets,40,80,30,50,30,50,25,35,30,60,5.5,8,30,60,"Ánh sáng mặt trời trực tiếp.","Nhiều loại đất nghèo dinh dưỡng.","Sâu ăn hạt, chim.","Cực kỳ chịu hạn, thời gian sinh trưởng ngắn."
Aloe Vera,20,50,20,40,30,60,20,35,40,60,6,7.5,20,50,"Ánh sáng mặt trời đầy đủ, nắng gắt có thể làm cháy lá.","Đất cát pha, thoát nước cực tốt.","Bệnh thối nhũn, rệp sáp.","Chịu hạn tốt, tránh tưới nước lên lá để ngăn ngừa thối."
Mint,80,120,40,60,60,100,15,25,70,90,6,7,80,150,"Ánh sáng mặt trời đầy đủ hoặc bán râm.","Đất thịt màu mỡ, giữ ẩm tốt.","Nhện đỏ, bệnh rỉ sắt.","Cần nhiều nước, phát triển rất nhanh, có thể trồng trong chậu để kiểm soát tán."
Ginseng,40,80,40,70,60,100,15,22,70,85,5.5,6.5,100,200,"Bóng râm (70-80% che phủ).","Đất rừng giàu mùn, tơi xốp, thoát nước tốt.","Bệnh thối rễ, sâu đất.","Môi trường mát mẻ, cần thời gian trồng dài (trên 5 năm) mới thu hoạch."
Artichoke,100,150,60,90,100,150,12,20,70,85,6.5,7.5,80,150,"Ánh sáng mặt trời đầy đủ.","Đất thịt sâu, thoát nước tốt, giàu dinh dưỡng.","Rệp muội, sâu ăn lá.","Cần sương giá nhẹ hoặc khí hậu lạnh để ra hoa, bón nhiều phân."
Basil,60,100,30,50,50,90,20,30,60,80,6,7.5,60,110,"Ánh sáng mặt trời đầy đủ.","Đất thịt nhẹ, thoát nước tốt.","Bệnh sương mai, rệp.","Ngắt ngọn thường xuyên để cây phân nhánh và tránh ra hoa sớm."
Lemongrass,60,100,30,50,60,100,22,35,60,85,5.5,7.5,100,200,"Ánh sáng mặt trời đầy đủ.","Đất thịt pha cát, thoát nước tốt.","Sâu đục thân, rỉ sắt.","Dễ trồng, chịu hạn khá, cần tách bụi sau 1-2 năm."
Rosemary,30,60,20,40,40,80,15,25,40,65,6,7.5,30,70,"Ánh sáng mặt trời đầy đủ.","Đất cát, sỏi, thoát nước cực tốt.","Rệp sáp, bệnh thối rễ.","Tránh tưới quá nhiều nước, không chịu được ngập úng gốc."
Stevia,60,100,40,60,60,100,20,30,70,85,6,7.5,80,140,"Ánh sáng mặt trời đầy đủ.","Đất thịt nhẹ, thoát nước tốt.","Bệnh héo rũ, rệp muội.","Lá rất ngọt, thu hoạch lá trước khi cây ra hoa."
Perilla,60,100,40,70,50,90,20,32,70,90,5.5,7,80,150,"Ánh sáng mặt trời đầy đủ hoặc bán râm.","Đất thịt màu mỡ.","Sâu ăn lá, rầy mềm.","Cần đủ ẩm, dễ gieo hạt và phát triển nhanh."
Coriander,40,80,30,60,40,80,15,22,60,80,6,7.5,40,90,"Ánh sáng mặt trời đầy đủ hoặc bán râm mát.","Đất tơi xốp, thoát nước tốt.","Bệnh phấn trắng, rệp.","Nhanh thu hoạch, không chịu được nhiệt độ cao (dễ ra hoa)."
Lavender,20,40,20,40,40,80,15,25,30,60,6.5,8,30,65,"Ánh sáng mặt trời đầy đủ trực tiếp.","Đất cát, khô cằn, thoát nước cực tốt.","Bệnh héo rũ rễ.","Chịu hạn tốt, tránh bón nhiều phân đạm, cần không gian thoáng gió."
Sage,40,80,30,50,40,90,15,28,40,70,6,7,40,85,"Ánh sáng mặt trời đầy đủ.","Đất thịt pha cát, thoát nước tốt.","Rệp muội, nhện đỏ.","Tưới nước khi đất đã khô hẳn, cắt tỉa cành gỗ vào mùa xuân."
Thyme,30,60,20,40,40,80,15,30,30,60,6,8,30,70,"Ánh sáng mặt trời đầy đủ trực tiếp.","Đất đá vôi, cát, thoát nước tốt.","Bệnh thối rễ.","Chịu hạn cực tốt, mọc thấp sát đất, cần ít phân bón."
Hibiscus,60,100,40,80,60,120,18,35,60,85,5.5,7,100,200,"Ánh sáng mặt trời đầy đủ.","Đất thịt pha cát, màu mỡ.","Rệp sáp, sâu đục nụ.","Sử dụng đài hoa để làm trà, cần tưới nước đầy đủ khi cây ra hoa."
Job's Tears,40,80,30,60,40,80,20,30,70,90,5.5,7.5,100,180,"Ánh sáng mặt trời đầy đủ.","Đất phù sa bồi, đất thịt giữ nước tốt.","Bệnh than đen, sâu ăn hạt.","Hạt dùng làm dược liệu hoặc thực phẩm, cần nhiều nước giai đoạn sinh trưởng."
Fennel,60,100,40,70,60,110,15,25,50,75,6,7.5,50,100,"Ánh sáng mặt trời đầy đủ.","Đất thịt nhẹ, tơi xốp.","Rầy mềm, sâu ăn lá.","Dùng làm gia vị và thuốc, cần vun đất che củ nếu trồng lấy củ."
Radish,40,70,30,50,60,100,15,22,60,80,6,7,40,80,"Ánh sáng mặt trời đầy đủ.","Đất cát pha tơi xốp, nhiều mùn.","Rệp muội, sâu vẽ bùa.","Nhanh thu hoạch (30-45 ngày), cần tưới nước hằng ngày để củ không bị đắng."
Beetroot,40,60,40,60,60,100,15,25,60,75,6,7.5,50,90,"Ánh sáng mặt trời đầy đủ.","Đất tơi xốp, giàu hữu cơ, không chứa sỏi đá.","Sâu khoang, bệnh đốm lá.","Cần nhiều Kali để củ có màu đỏ đậm và vị ngọt."
Taro,80,120,40,70,100,160,25,35,80,95,5.5,7,150,250,"Ánh sáng mặt trời đầy đủ hoặc bán râm.","Đất thịt nặng, đất trũng giữ nước tốt.","Rầy mềm, bệnh sương mai.","Cần rất nhiều nước, có thể trồng ở ruộng ngập nước nông."
Yam,60,100,40,60,80,140,20,30,70,85,5.5,6.5,100,180,"Ánh sáng mặt trời đầy đủ.","Đất thịt pha cát, tơi xốp, tầng đất dày.","Sâu đục củ, tuyến trùng.","Cần giàn leo cho dây leo phát triển, thời gian sinh trưởng dài."
Bitter Gourd,60,100,40,70,60,100,20,35,65,85,6,7,80,150,"Ánh sáng mặt trời đầy đủ.","Đất thịt pha cát, giàu mùn.","Ruồi đục trái, bệnh phấn trắng.","Cần giàn leo cao, bón phân hữu cơ định kỳ và tưới nước giữ ẩm."
Bottle Gourd,40,80,30,50,40,80,25,35,60,80,6,7.5,60,120,"Ánh sáng mặt trời đầy đủ.","Đất tơi xốp, thoát nước tốt.","Bọ dưa, sâu đục trái.","Phát triển rất nhanh, cần giàn leo vững chắc."
Sponge Gourd,40,80,30,60,40,80,20,32,70,90,6,7,100,200,"Ánh sáng mặt trời đầy đủ.","Đất phù sa bồi, đất thịt nhẹ.","Ruồi đục quả, rầy mềm.","Chịu ẩm tốt, cần cắt tỉa lá già để thông thoáng giàn."
Okra,40,80,40,60,40,80,25,35,50,75,6,7.5,60,100,"Ánh sáng mặt trời trực tiếp.","Đất thịt màu mỡ, thoát nước tốt.","Rầy xanh, sâu đục quả.","Chịu nhiệt tốt, thu hoạch quả khi còn non để không bị xơ."
Bell Pepper,100,150,50,80,100,160,18,28,65,80,6,7,60,120,"Ánh sáng mặt trời đầy đủ.","Đất thịt pha cát, tơi xốp, giàu hữu cơ.","Bệnh thán thư, bọ trĩ.","Cần bón nhiều Kali để vỏ trái bóng đẹp và dày."
Strawberry,60,100,40,70,80,120,15,25,60,85,5.5,6.5,60,110,"Ánh sáng mặt trời đầy đủ.","Đất thịt nhẹ, đất đồi thoát nước tốt.","Nhện đỏ, bệnh thối quả.","Cần khí hậu mát mẻ, phủ rơm gốc để tránh quả tiếp xúc trực tiếp với đất."
Blueberry,30,60,40,60,40,70,15,25,60,80,4.5,5.2,80,150,"Ánh sáng mặt trời mặt trời đầy đủ.","Đất cực chua (pH rất thấp), thoát nước tốt, nhiều hữu cơ.","Chim ăn hạt, bệnh thối rễ.","Cần kiểm soát độ pH đất nghiêm ngặt, bón phân dành riêng cho cây ưa acid."
Zucchini,60,100,40,80,80,140,18,28,65,85,6,7.5,50,100,"Ánh sáng mặt trời đầy đủ.","Đất thịt pha cát, màu mỡ.","Bệnh phấn trắng, bọ dưa.","Dễ trồng, nhanh thu hoạch quả và hoa đều có thể ăn được."
Lotus,40,80,30,60,40,80,25,35,75,95,6,7.5,150,300,"Ánh sáng mặt trời trực tiếp (ít nhất 6 giờ).","Lớp bùn đáy giàu dinh dưỡng, không bị ô nhiễm.","Sâu ăn lá, ốc bươu vàng.","Trồng trong ao hoặc chậu lớn chứa nước, hoa, hạt và củ đều dùng làm thực phẩm."
Sesbania Flower,20,40,20,40,20,40,25,35,80,95,5.5,7.5,150,300,"Ánh sáng mặt trời trực tiếp.","Đất phù sa bồi, chịu được ngập lũ.","Sâu ăn hoa.","Mọc phổ biến ở miền Tây, hoa nở rộ vào mùa nước nổi, dùng làm rau sạch."
Corkwood Flower,30,60,30,50,30,50,22,35,75,95,5,7.5,150,250,"Ánh sáng mặt trời đầy đủ.","Đất thịt, bờ ao, chịu được phèn và mặn nhẹ.","Sâu đục thân, rầy.","Cây thân gỗ nhỏ, hoa dùng nấu canh chua, lẩu, rất bổ dưỡng."
